,user_id,question_id,mid,Overall DA Score,Content Adequacy,Conciseness,Fluency,sourcerer_id
6128,qXpZApZsDZvs6V1beoaB,343,1.0,14.0,1.0,5.0,5.0,44731329
1658,jvZX454cqEqzgMxuTPVr,324,2.0,4.0,1.0,5.0,1.0,12533100
4831,l7hunVblTuPcE7m9O94I,190,5.0,2.0,1.0,1.0,2.0,27798040
2590,sgJ5tLeI1zBoENXF5fiW,202,3.0,70.0,4.0,4.0,4.0,8505998
1923,7WARaAOYu0WDD6E0k3RW,421,3.0,100.0,5.0,5.0,5.0,19516531
166,VfKeOxeB1P2UekF2QUeT,180,0.0,55.0,4.0,3.0,5.0,16685308
865,3uOmCCerRqDdaUv2EKCI,369,3.0,30.0,1.0,1.0,3.0,29856529
1592,TPsV90U7OvmFne2E5Blv,73,1.0,60.0,4.0,5.0,4.0,40443898
412,X4hP4eDxUETM5pkjAjOQ,182,5.0,10.0,1.0,2.0,2.0,39841857
4204,IdVkr1qUMzlvXabrkXjy,412,1.0,50.0,3.0,3.0,4.0,46795331
116,Ua180DvIZupq2nAU72wj,232,3.0,80.0,4.0,4.0,4.0,17285225
1066,4vFy2PQCPzpr3GaKtStL,211,4.0,56.0,2.0,3.0,3.0,33179801
5921,t8Q58CA6780U32ZsMR0T,425,2.0,50.0,2.0,5.0,3.0,47664222
3541,wsOTwqJfwvbj9rmKVjdp,168,0.0,51.0,1.0,1.0,5.0,51421044
2220,RTGqHBjTkY28r0TF7XZj,53,0.0,100.0,5.0,5.0,5.0,49328152
2040,cuQhqYgprMUVViT96DQm,345,0.0,75.0,3.0,5.0,5.0,43040517
4598,NAQGK5Zg3Ew5N9jMNaLC,22,3.0,85.0,4.0,5.0,5.0,50430783
2514,GycJtshGCA9pHa1p5hmt,203,3.0,89.0,3.0,4.0,1.0,18928184
2786,dPR5jrXz9wc8eW4j5orO,89,1.0,20.0,2.0,4.0,4.0,40943527
3967,ZAnCEHfIyt2TEHHicPRw,428,0.0,76.0,3.0,4.0,2.0,50852673
4743,bRSSJtuVhnuhG2Z7EnWz,78,4.0,57.0,4.0,5.0,4.0,5439583
4267,Iiohi8pJ0qk5etpRSPmX,200,4.0,30.0,3.0,3.0,2.0,33179338
2187,8aeVM4TTAhmAI07Y3jDW,48,3.0,50.0,4.0,4.0,4.0,33483566
4140,I5Uefymq7ArJRht2oIgR,159,3.0,7.0,3.0,4.0,3.0,48102682
6158,fCVk8MAnGWNW6hkV00qY,64,1.0,90.0,5.0,5.0,5.0,18925873
383,HakHb8XhGk5YsiVFZIdR,65,3.0,34.0,3.0,3.0,3.0,8938055
91,2A3vufN4i9rjh7rWaFyh,177,2.0,3.0,1.0,1.0,1.0,35551047
1722,cleAq2ioAlfn0f46Mm1C,165,0.0,100.0,5.0,4.0,5.0,22672070
3565,Fq4gMagKjpN7nOzT8xUF,191,0.0,79.0,3.0,4.0,4.0,42171280
2487,d9WrbtGR74qRLmJQdEvs,413,1.0,28.0,1.0,4.0,4.0,8242041
63,0tXHezQSO4TJl4j9EJzX,75,3.0,91.0,5.0,4.0,5.0,50717786
27,0aAg9cMttpLPO8WuMz6v,88,3.0,100.0,5.0,5.0,5.0,22907975
2878,Dc3IPugkT5xFRKe1zL8P,7,3.0,100.0,5.0,5.0,5.0,27907911
3791,YlNrCRSzm9ca8rTIN3og,43,4.0,5.5,3.0,3.0,2.5,13278849
2501,GycJtshGCA9pHa1p5hmt,172,2.0,6.0,1.0,1.0,1.0,46027597
3463,Y2ymiKst4jiVVfTqeBmW,422,5.0,2.0,0.0,2.0,3.0,27797092
4159,woP8xAoil46mHlH9HOLs,159,4.0,66.0,4.0,3.0,3.0,48102682
1203,5H9dzlxzyknJGwzbarSV,90,2.0,84.0,5.0,4.0,5.0,19220500
1184,nd8wtwq4wq3dKhekKNG4,38,1.0,70.0,5.0,4.0,4.0,3607936
5650,XFvy1ChD65gtfDauQ3eI,407,5.0,0.0,1.0,1.0,5.0,40869615
473,cleAq2ioAlfn0f46Mm1C,339,5.0,1.0,1.0,5.0,5.0,5592516
3046,ENLTcnRq7pHxVGi6I80V,312,1.0,70.0,5.0,5.0,3.0,8435765
697,3J3rAMDmdaycnd5PwWgz,67,3.0,70.0,4.0,3.0,5.0,37121212
708,KaXv5PGnIV5OFof5Wfjj,67,2.0,21.0,3.0,5.0,5.0,37121212
1030,hildca3p0hc7x6Zzo4w8,229,4.0,100.0,5.0,5.0,5.0,19372445
1557,gmpfD6LaFAjM2cScyazH,41,2.0,20.0,3.0,3.0,3.0,19281495
2002,74Yck7QewDPwt2UQlcZa,44,4.0,52.0,3.0,4.0,4.0,17361374
1937,6meICs11BcPhaKH5KOYf,80,5.0,74.0,3.0,3.0,5.0,19488868
3915,OVjmOs5xeX0M8mnIdieC,223,2.0,85.0,4.0,4.0,4.0,12283737
4965,n4gs36NizDth5YGJW6S4,279,3.0,9.0,2.0,2.0,2.0,45959103
5730,q0j378LGNXs0GiVN40jW,303,1.0,59.0,4.0,5.0,3.0,46795031
4024,N0Wt7dOOpR3GliGdo9XT,344,5.0,3.0,1.0,1.0,1.0,26493600
6007,soo7FGnITKEf0ZpQ3GD1,357,5.0,15.0,2.0,3.0,4.0,18423879
3229,jvZX454cqEqzgMxuTPVr,210,2.0,100.0,5.0,5.0,5.0,10577588
2847,Ge0yEbBtGnAAVH8y2PYy,334,2.0,54.0,2.0,2.0,2.0,49936573
942,Buwn3jCbHjCP3fdPfok4,257,5.0,67.0,3.0,3.0,3.0,42172687
5374,d6jWXAjuKLkRL7J6ApKn,328,5.0,0.0,1.0,1.0,1.0,47473551
2778,cQKA2JC8BgDHjWZ1zBQB,89,5.0,1.0,1.0,5.0,5.0,40943527
3927,GycJtshGCA9pHa1p5hmt,262,2.0,84.0,5.0,4.0,3.0,35971807
1454,7NR8OQqx1QQiCScJezce,326,1.0,4.0,1.0,1.0,1.0,37563578
4622,NAQGK5Zg3Ew5N9jMNaLC,56,3.0,66.0,3.0,5.0,5.0,26215331
4699,Zfu08dIuWInAu4nIUNDz,71,2.0,82.0,5.0,5.0,5.0,18925498
378,cQKA2JC8BgDHjWZ1zBQB,65,4.0,4.0,1.0,5.0,5.0,8938055
5250,hildca3p0hc7x6Zzo4w8,256,2.0,2.0,3.0,3.0,2.0,18925411
3711,AsuPCbpO7wbftRH8EaZ9,434,2.0,80.0,3.0,5.0,5.0,4453161
1900,E0yVLdMEnSemeJrQJi3r,300,4.0,84.0,3.0,5.0,5.0,31499530
989,Yu76TK2hAqrsctur4EUk,444,1.0,65.0,4.0,3.0,5.0,10577914
6226,gOKtAzP0oMuWAYEDOF3n,26,3.0,39.0,1.0,1.0,1.0,19283007
4193,IdVkr1qUMzlvXabrkXjy,218,2.0,22.0,2.0,1.0,3.0,13548856
1023,Llmz8QI1EeQ2ltuHIsuM,229,3.0,91.0,4.0,3.0,5.0,19372445
1956,hsLqYRkRStC0SqhXPl5d,25,0.0,1.0,1.0,1.0,2.0,40943207
2592,sgJ5tLeI1zBoENXF5fiW,202,5.0,5.0,1.0,1.0,5.0,8505998
1745,YLznrodFjw48Kluh7mlA,253,5.0,0.0,1.0,1.0,1.0,34609490
3000,cleAq2ioAlfn0f46Mm1C,349,2.0,32.0,4.0,4.0,5.0,22407835
4494,n4gs36NizDth5YGJW6S4,305,5.0,7.0,2.0,2.0,3.0,47666770
4493,n4gs36NizDth5YGJW6S4,305,4.0,8.0,2.0,2.0,1.0,47666770
241,YysosahQfADdXTvCfgoc,244,0.0,68.0,4.0,4.0,4.0,45750631
417,2qQfiU7dvjbxnhH3uk5V,217,3.0,60.0,4.0,4.0,4.0,31082492
1778,6Oma5lQu71VLc6ATavJB,313,2.0,9.0,4.0,4.0,3.0,22218609
5949,aSYgVGUp3jpTQ7g2sOJk,62,0.0,90.0,5.0,5.0,5.0,257278
1611,VEIASWam8JwJZCTh9Fpm,255,2.0,94.0,5.0,4.0,5.0,7956283
4579,q0j378LGNXs0GiVN40jW,194,2.0,95.0,4.0,5.0,4.0,299097
2080,KN4s0ZJu7Ftc2CYAvnW6,411,4.0,100.0,5.0,5.0,5.0,38892343
3723,Ge0yEbBtGnAAVH8y2PYy,438,2.0,67.0,3.0,2.0,3.0,14641163
4704,OAiKCL5X9PHnTOL1n4oB,92,1.0,10.0,1.0,5.0,4.0,25124049
5517,VfKeOxeB1P2UekF2QUeT,216,4.0,50.0,3.0,5.0,5.0,43420700
131,2A3vufN4i9rjh7rWaFyh,390,0.0,0.0,1.0,1.0,1.0,27765938
270,BP6BYlcXIHOviCBAecDG,267,1.0,0.0,1.0,1.0,1.0,19331685
4007,HHWOgcVvCMlLsOQwTKlu,344,0.0,0.0,1.0,1.0,1.0,26493600
1673,6Cm8weQgEFOtTgu3LRbO,360,5.0,10.0,2.0,1.0,2.0,19372919
5101,fslyVjohF4u2pSiW3MhW,417,3.0,100.0,5.0,5.0,5.0,47469111
3445,lZ2DNxtEcmPEOpmirEUd,383,4.0,7.0,2.0,3.0,5.0,29740338
593,Yj6LQXMDANOdvfS2ttBt,23,1.0,59.0,5.0,5.0,5.0,23285855
4381,7WARaAOYu0WDD6E0k3RW,246,0.0,85.0,4.0,5.0,5.0,370799
904,3uOmCCerRqDdaUv2EKCI,435,0.0,3.0,1.0,1.0,1.0,44821071
4071,Z6NroubrUkexF0pG9cSt,408,0.0,0.0,3.0,1.0,1.0,22623106
3749,Z6NroubrUkexF0pG9cSt,439,4.0,3.0,1.0,1.0,1.0,1189938
3124,EborwT4TWEmbhWWsul97,288,3.0,72.0,3.0,4.0,4.0,19516564
5249,hildca3p0hc7x6Zzo4w8,256,1.0,3.0,1.0,5.0,5.0,18925411
5492,hildca3p0hc7x6Zzo4w8,410,3.0,46.0,1.0,5.0,4.0,38756079
1584,OCbkp1LD2Saxg9lFykTJ,73,5.0,25.0,2.0,3.0,3.0,40443898
474,2qQfiU7dvjbxnhH3uk5V,346,0.0,88.0,4.0,4.0,5.0,35235623
6179,gOKtAzP0oMuWAYEDOF3n,68,4.0,58.0,2.0,4.0,4.0,45068546
469,cleAq2ioAlfn0f46Mm1C,339,1.0,82.0,5.0,5.0,5.0,5592516
796,Qyp9meIsI0DfREC0v7wV,291,0.0,100.0,5.0,5.0,5.0,28921191
193,unLy4bVh7N8PYlTn4NHc,186,5.0,0.0,1.0,2.0,4.0,19108671
4956,R9s1kZ3Ad0wkXysyKWIu,279,0.0,100.0,5.0,5.0,5.0,45959103
2145,8aeVM4TTAhmAI07Y3jDW,16,3.0,30.0,2.0,2.0,2.0,3449533
3091,Yu76TK2hAqrsctur4EUk,170,1.0,80.0,5.0,4.0,4.0,23857899
6223,gOKtAzP0oMuWAYEDOF3n,26,0.0,51.0,3.0,4.0,3.0,19283007
5602,cg8NkU8krxbqEG3A46pg,187,5.0,9.0,1.0,1.0,5.0,22672011
4425,xAYgvpZ61WfH1LSnRqWF,350,2.0,19.0,2.0,2.0,2.0,1782778
3079,RCPPNzQVyDIptmB9cqkI,337,4.0,62.0,4.0,4.0,5.0,45131072
5829,Zfu08dIuWInAu4nIUNDz,233,0.0,39.0,1.0,3.0,2.0,8475031
5356,X4hP4eDxUETM5pkjAjOQ,171,5.0,10.0,1.0,1.0,3.0,43654890
3125,EborwT4TWEmbhWWsul97,288,4.0,72.0,3.0,4.0,4.0,19516564
1948,747pHM0imQnMM1SReu5y,25,4.0,3.0,0.0,0.0,0.0,40943207
4578,q0j378LGNXs0GiVN40jW,194,1.0,3.0,2.0,3.0,3.0,299097
3190,opbIuvNqdAcQ5byEt6xZ,169,3.0,92.0,4.0,4.0,4.0,46997604
695,3J3rAMDmdaycnd5PwWgz,67,1.0,90.0,5.0,5.0,5.0,37121212
3616,ejGyEzlaAyDROrLeN4My,281,3.0,10.0,1.0,2.0,2.0,31741225
2503,GycJtshGCA9pHa1p5hmt,172,4.0,100.0,4.0,3.0,4.0,46027597
384,HakHb8XhGk5YsiVFZIdR,65,4.0,32.0,2.0,3.0,3.0,8938055
623,STuci5eqOjPxAphQPwHd,31,1.0,51.0,2.0,2.0,2.0,19375156
5008,RCPPNzQVyDIptmB9cqkI,252,0.0,53.0,5.0,3.0,4.0,19344556
4327,ZAnCEHfIyt2TEHHicPRw,243,5.0,0.0,1.0,1.0,3.0,39456345
2448,7WARaAOYu0WDD6E0k3RW,185,3.0,40.0,2.0,2.0,2.0,11950130
366,3J3rAMDmdaycnd5PwWgz,66,4.0,75.0,4.0,3.0,4.0,42192886
1963,74Yck7QewDPwt2UQlcZa,17,1.0,60.0,3.0,5.0,5.0,34425626
3757,QA3ylciNtHoySYQSzLVt,3,0.0,61.0,4.0,4.0,4.0,9346841
553,7WARaAOYu0WDD6E0k3RW,445,3.0,50.0,3.0,3.0,5.0,29937810
2129,8aeVM4TTAhmAI07Y3jDW,11,5.0,50.0,3.0,3.0,3.0,15539704
4416,KptsCpo0xHaCjbdVcjut,350,5.0,4.0,1.0,5.0,5.0,1782778
2435,9lsHIqEU05S9FuSeYfje,185,2.0,2.0,1.0,4.0,2.0,11950130
893,VHOq72nCE0glOazhgD74,403,1.0,50.0,4.0,4.0,5.0,257638
2345,S7h77TaGu9vO4UxJiNul,167,0.0,100.0,5.0,5.0,4.0,26086319
6133,f725lCiZsiPEeyVrBbLq,295,0.0,77.0,3.0,2.0,5.0,22076443
1624,6Cm8weQgEFOtTgu3LRbO,286,4.0,20.0,2.0,3.0,3.0,26546706
111,4bTUXf5wr8916W7TAmyl,232,4.0,50.0,3.0,4.0,5.0,17285225
187,jvZX454cqEqzgMxuTPVr,186,4.0,4.0,1.0,5.0,5.0,19108671
18,Xe9Jiclu9Wt8pFaySxXD,34,0.0,62.0,3.0,3.0,3.0,7316417
2455,lA4bTekYoZv3RdexYbJJ,185,4.0,20.0,3.0,5.0,3.0,11950130
2441,9pJ1vShYwdOU8UQb2Ytf,185,2.0,15.0,2.0,2.0,5.0,11950130
2241,Yj6LQXMDANOdvfS2ttBt,63,3.0,10.0,2.0,2.0,2.0,33484580
2843,DX96h8v4feTX8N8B0O6z,334,4.0,5.0,0.0,0.0,0.0,49936573
4488,Llmz8QI1EeQ2ltuHIsuM,305,5.0,20.0,1.0,5.0,5.0,47666770
5822,Zfu08dIuWInAu4nIUNDz,201,5.0,8.0,1.0,4.0,5.0,7956749
5789,eZFzXOAO0rISvqH4zZzA,83,2.0,22.0,3.0,2.0,2.0,22624990
1243,VfKeOxeB1P2UekF2QUeT,322,0.0,10.0,1.0,2.0,3.0,40936796
2136,hsLqYRkRStC0SqhXPl5d,11,0.0,100.0,5.0,5.0,5.0,15539704
3246,YysosahQfADdXTvCfgoc,220,0.0,100.0,5.0,5.0,5.0,8474832
3548,yCywdtIE7TBJqxyv7f2z,168,1.0,80.0,4.0,5.0,5.0,51421044
3009,E19RqYhKORUVz15YAJNT,213,0.0,24.0,2.0,4.0,2.0,18926276
3735,Fq4gMagKjpN7nOzT8xUF,439,2.0,80.0,3.0,2.0,3.0,1189938
3451,xVDCVfcLkkJ9jWDiyz2P,383,5.0,28.0,1.0,3.0,4.0,29740338
1474,EborwT4TWEmbhWWsul97,385,3.0,92.0,4.0,5.0,5.0,26215310
1891,6gJVVpQ8pVt9Gc8jJCiV,300,1.0,86.0,5.0,5.0,5.0,31499530
3166,cQKA2JC8BgDHjWZ1zBQB,393,3.0,30.0,2.0,5.0,5.0,7561837
2655,Iiohi8pJ0qk5etpRSPmX,301,2.0,85.0,3.0,4.0,3.0,19373849
2381,N0Wt7dOOpR3GliGdo9XT,236,2.0,95.0,5.0,5.0,5.0,610818
5754,vED1eKENkemCbW5c6DWQ,163,3.0,30.0,3.0,3.0,3.0,22407006
3469,XSg7MUuDXa7ZJKI4rkrO,204,0.0,100.0,5.0,5.0,5.0,19344363
5862,woP8xAoil46mHlH9HOLs,302,3.0,3.0,1.0,1.0,1.0,8979615
5151,RJd0nGSZhsVVB4DLtIEx,392,5.0,26.0,2.0,2.0,2.0,14466898
5601,cg8NkU8krxbqEG3A46pg,187,4.0,97.0,4.0,5.0,5.0,22672011
1563,61EUfStVQAOL4j72VFKE,73,2.0,73.0,3.0,3.0,2.0,40443898
4217,S7h77TaGu9vO4UxJiNul,412,2.0,50.0,3.0,4.0,4.0,46795331
4776,OVjmOs5xeX0M8mnIdieC,332,1.0,20.0,2.0,3.0,4.0,29937744
614,dPR5jrXz9wc8eW4j5orO,29,4.0,20.0,1.0,3.0,3.0,18275565
5041,vED1eKENkemCbW5c6DWQ,260,3.0,73.0,3.0,3.0,3.0,38184557
5262,YysosahQfADdXTvCfgoc,416,2.0,30.0,1.0,1.0,1.0,35555543
1432,5o0BzOf8tB5Nmqq0PZhq,314,3.0,80.0,4.0,5.0,5.0,19478107
3389,sgJ5tLeI1zBoENXF5fiW,374,1.0,90.0,5.0,5.0,5.0,29859492
5915,YysosahQfADdXTvCfgoc,425,2.0,57.0,3.0,3.0,3.0,47664222
5208,bRSSJtuVhnuhG2Z7EnWz,19,2.0,16.0,3.0,2.0,2.0,37398873
1895,6gJVVpQ8pVt9Gc8jJCiV,300,5.0,5.0,1.0,1.0,1.0,31499530
2077,KN4s0ZJu7Ftc2CYAvnW6,411,1.0,60.0,3.0,5.0,5.0,38892343
5504,q0j378LGNXs0GiVN40jW,404,3.0,86.0,5.0,4.0,4.0,19662092
3395,VCo3HFgiyVv5UMdQt4p3,424,1.0,70.0,3.0,2.0,4.0,21359392
5855,Zfu08dIuWInAu4nIUNDz,302,2.0,5.0,1.0,1.0,1.0,8979615
2885,Xe9Jiclu9Wt8pFaySxXD,7,4.0,50.0,5.0,4.0,4.0,27907911
3421,GycJtshGCA9pHa1p5hmt,208,3.0,100.0,5.0,5.0,4.0,31932111
4496,qXpZApZsDZvs6V1beoaB,305,1.0,0.0,1.0,5.0,1.0,47666770
1380,5aL69R4cGufXOgFdiwDZ,329,5.0,5.0,2.0,2.0,2.0,46708815
3914,OVjmOs5xeX0M8mnIdieC,223,1.0,0.0,1.0,1.0,4.0,12283737
3157,XFvy1ChD65gtfDauQ3eI,393,0.0,95.0,4.0,4.0,5.0,7561837
4155,woP8xAoil46mHlH9HOLs,159,0.0,85.0,5.0,4.0,4.0,48102682
3722,Ge0yEbBtGnAAVH8y2PYy,438,1.0,88.0,4.0,4.0,4.0,14641163
4121,HakHb8XhGk5YsiVFZIdR,375,2.0,3.0,1.0,1.0,1.0,40093089
3053,fslyVjohF4u2pSiW3MhW,312,2.0,100.0,5.0,5.0,5.0,8435765
2913,jSxmcJB0CDvQJelMiQL5,70,2.0,11.0,1.0,2.0,5.0,25351434
24,0aAg9cMttpLPO8WuMz6v,88,0.0,80.0,5.0,5.0,5.0,22907975
1833,6meICs11BcPhaKH5KOYf,45,3.0,100.0,4.0,4.0,4.0,250715
1313,woP8xAoil46mHlH9HOLs,193,4.0,69.0,3.0,3.0,3.0,19507113
6244,vuPBmi2wvNIdPX1PfVJy,8,3.0,35.0,3.0,3.0,4.0,32773661
5020,f725lCiZsiPEeyVrBbLq,252,0.0,85.0,4.0,5.0,5.0,19344556
3759,QA3ylciNtHoySYQSzLVt,3,2.0,57.0,3.0,3.0,3.0,9346841
2232,8aeVM4TTAhmAI07Y3jDW,63,0.0,29.0,2.0,2.0,2.0,33484580
6199,q7uPrVKnWSN3YGYhdGI4,6,0.0,40.0,3.0,4.0,4.0,32021853
1906,Z6NroubrUkexF0pG9cSt,300,4.0,100.0,5.0,5.0,5.0,31499530
4163,I5Uefymq7ArJRht2oIgR,225,2.0,48.0,3.0,3.0,3.0,42171671
4314,KN4s0ZJu7Ftc2CYAvnW6,243,4.0,53.0,4.0,4.0,5.0,39456345
528,SqCuzmWiDzIcnutktu2D,419,3.0,1.0,1.0,3.0,1.0,40943264
4768,YvpO5sRN0Gowv42miDNX,283,5.0,2.0,1.0,1.0,1.0,38184485
6219,AsuPCbpO7wbftRH8EaZ9,394,2.0,84.0,4.0,5.0,5.0,46026420
3587,Fq4gMagKjpN7nOzT8xUF,221,4.0,40.0,2.0,1.0,1.0,26499750
5428,UoKGYb2XEeX2SBgcdojf,79,5.0,2.0,2.0,2.0,4.0,51210743
1348,ROwE86JOiXSfcLK9rRZ5,234,3.0,55.0,4.0,4.0,5.0,43418757
2978,q0j378LGNXs0GiVN40jW,290,3.0,40.0,2.0,4.0,3.0,19514526
810,3c8IvYr1u716Rb07ouQQ,366,2.0,78.0,4.0,4.0,4.0,18925500
405,RJd0nGSZhsVVB4DLtIEx,182,3.0,33.0,2.0,2.0,2.0,39841857
3037,X0HP4r0PDXpyY5jTOX9B,239,4.0,100.0,4.0,5.0,5.0,41799133
917,4RfTlJA8eHn1KjxgYmC0,248,3.0,74.0,3.0,2.0,1.0,18934277
677,qIWZUWljoKZe0EhZc3nV,52,1.0,3.0,1.0,5.0,1.0,19513050
4746,OPdwL3eFlCjEM3YC9ERY,27,1.0,95.0,4.0,4.0,4.0,51022897
3303,VL0eu9iS1J787bjluUut,268,3.0,100.0,5.0,5.0,5.0,50026225
6098,q0j378LGNXs0GiVN40jW,175,0.0,100.0,5.0,5.0,4.0,22624735
3030,ENLTcnRq7pHxVGi6I80V,239,3.0,36.0,2.0,2.0,3.0,41799133
2156,8aeVM4TTAhmAI07Y3jDW,35,2.0,59.0,3.0,2.0,2.0,46027524
511,3uOmCCerRqDdaUv2EKCI,382,3.0,1.0,1.0,1.0,1.0,5441586
1238,5K6WZP9bRHaNYytPegd8,322,1.0,2.0,2.0,4.0,3.0,40936796
4057,yTQXTibyjIv1EG1BBAaZ,381,4.0,85.0,3.0,4.0,5.0,42491030
3688,z9g4k002jw6NYLQEydmy,406,3.0,11.0,1.0,1.0,5.0,31696569
5037,tHUbYu3L0v8XX4z856S9,260,5.0,75.0,4.0,3.0,4.0,38184557
6347,wsOTwqJfwvbj9rmKVjdp,308,5.0,0.0,1.0,1.0,1.0,29995648
2013,7NR8OQqx1QQiCScJezce,249,3.0,25.0,2.0,2.0,5.0,19979341
1249,z9g4k002jw6NYLQEydmy,322,0.0,60.0,3.0,3.0,3.0,40936796
876,yTQXTibyjIv1EG1BBAaZ,369,2.0,58.0,2.0,3.0,3.0,29856529
3788,YlNrCRSzm9ca8rTIN3og,43,1.0,70.5,5.0,4.5,4.5,13278849
4775,OVjmOs5xeX0M8mnIdieC,332,0.0,90.0,4.0,3.0,4.0,29937744
4315,KN4s0ZJu7Ftc2CYAvnW6,243,5.0,1.0,1.0,5.0,5.0,39456345
1225,VL0eu9iS1J787bjluUut,166,0.0,40.0,3.0,2.0,4.0,15539952
1918,Fq4gMagKjpN7nOzT8xUF,421,4.0,100.0,4.0,4.0,4.0,19516531
2772,wC1jyRbcrzooZv86gNG1,40,5.0,4.0,1.0,2.0,3.0,39456357
6351,sgJ5tLeI1zBoENXF5fiW,378,3.0,70.0,4.0,4.0,5.0,50996793
1884,unLy4bVh7N8PYlTn4NHc,391,0.0,80.0,5.0,2.0,3.0,39299578
5179,ROwE86JOiXSfcLK9rRZ5,400,3.0,5.0,1.0,1.0,1.0,42954609
3836,Ge0yEbBtGnAAVH8y2PYy,196,1.0,78.0,4.0,3.0,4.0,40092175
6271,UoKGYb2XEeX2SBgcdojf,271,1.0,60.0,4.0,4.0,4.0,38220853
5185,ruVJVEEGNraoVbEqkt4P,400,3.0,35.0,2.0,2.0,3.0,42954609
6190,gijtOxdkuIf4SgiDaHXI,72,3.0,60.0,5.0,4.0,4.0,20786588
3977,HBg4e9Wo8yR0Cxjq7CvB,263,5.0,3.0,0.0,0.0,0.0,51169897
2051,7NR8OQqx1QQiCScJezce,379,5.0,1.0,1.0,1.0,1.0,3989480
